City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Pangnirtung,CA,66.1451,-65.7125,49.39,68,28,4.45,scattered clouds
247,Manggar,ID,-2.8833,108.2667,81.07,75,100,11.16,overcast clouds
248,Varia,FR,44.5725,-0.1104,93.49,19,0,8.1,clear sky
249,Husavik,IS,66.0449,-17.3389,55.15,77,100,5.79,overcast clouds
250,George Town,MY,5.4112,100.3354,86.9,81,20,3.44,few clouds
251,Nome,US,64.5011,-165.4064,53.67,76,0,9.22,clear sky
252,Airai,TL,-8.9266,125.4092,56.91,94,82,3.06,broken clouds
253,Harper,LR,4.375,-7.7169,79.12,64,55,9.48,broken clouds
254,Faanui,PF,-16.4833,-151.75,78.15,75,44,20.13,light rain
255,Chadan,RU,51.2833,91.5833,69.98,34,57,10.47,broken clouds
256,Baglan,AF,36.1307,68.7083,94.59,12,0,12.41,clear sky
257,Komsomolskiy,UZ,40.4272,71.7189,90.32,19,74,9.22,broken clouds
258,Bekwai,GH,6.4534,-1.5774,80.28,74,81,4.27,light rain
259,East London,ZA,-33.0153,27.9116,65.34,77,0,9.22,clear sky
260,Hofn,IS,64.2539,-15.2082,53.62,94,100,9.22,light rain
261,Sylva,RU,58.0348,56.7635,83.57,63,100,2.75,overcast clouds
262,Leh,IN,34.1667,77.5833,72.23,30,29,7.67,scattered clouds
263,Muscat,OM,23.6139,58.5922,87.82,74,98,5.84,overcast clouds
264,Cayenne,GF,4.9333,-52.3333,85.08,10,75,2.3,broken clouds
265,Qostanay,KZ,53.1667,63.5833,86.29,28,0,8.95,clear sky
266,Rocha,UY,-34.4833,-54.3333,70.45,74,5,15.99,clear sky
267,Svetlogorsk,BY,52.6333,29.7333,69.35,60,38,9.55,scattered clouds
268,San Rafael Del Sur,NI,11.8485,-86.4384,76.17,71,64,10.29,broken clouds
269,Port Hardy,CA,50.6996,-127.4199,55.58,100,75,3.44,broken clouds
270,Abha,SA,18.2164,42.5053,80.85,30,75,5.75,broken clouds
271,Rameswaram,IN,9.2833,79.3,85.66,71,97,25.97,overcast clouds
272,Burewala,PK,30.1667,72.65,96.26,49,98,6.13,light rain
273,Riyadh,SA,24.6877,46.7219,107.74,5,100,18.66,overcast clouds
