City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
567,Empangeni,ZA,76.28,clear sky,-28.762,31.8933,Peermont Metcourt Hotel at Umfolozi
570,Chingirlau,KZ,85.23,scattered clouds,51.095,54.0814,Хостыл Аққу
571,Scarborough,GB,76.57,scattered clouds,54.2797,-0.4044,The Grand Hotel Scarborough
574,Manoel Urbano,BR,85.06,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
575,Baiyin,CN,79.47,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
576,Katobu,ID,74.88,scattered clouds,-4.9408,122.5276,La Ode Husein
577,Erenhot,CN,82.27,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
580,Piacabucu,BR,78.8,clear sky,-10.4056,-36.4344,Piaçabuçu News
581,Namatanai,PG,78.84,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
582,Lata,PT,82.08,clear sky,40.1629,-8.3327,Casa Maquia
583,Lewistown,US,73.18,clear sky,40.5992,-77.5714,Quality Inn & Suites
584,Nacogdoches,US,87.57,clear sky,31.6002,-94.6335,The Fredonia Hotel & Convention Center
585,Erzin,TR,82.56,clear sky,36.9559,36.2,Artemis Otel
586,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
588,Dvinskoy,RU,82.06,scattered clouds,62.1535,45.1175,Gostinitsa Dvinskaya
589,Westport,US,76.01,clear sky,41.1415,-73.3579,The Westport Inn
591,Vila Franca Do Campo,PT,75.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
592,Vuktyl,RU,75.4,broken clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
593,Kijang,KR,80.33,overcast clouds,35.2442,129.2139,Samyang Beach Villa
597,Saint George,US,85.78,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
599,Shimoda,JP,75.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
601,Muros,ES,71.01,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
602,Ajdabiya,LY,85.05,clear sky,30.7554,20.2263,Almadina Hotel
604,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
605,Badvel,IN,80.11,overcast clouds,14.75,79.05,Venkatalakshuma five star tiffin centre
606,Alamogordo,US,82.0,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
607,Humaita,BR,86.45,broken clouds,-7.5061,-63.0208,Corrêa Hotel
